title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted
4 Bdr with Outdoor Patio on Cesar Chavez,Mission,4000,4,2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bdr-with-outdoor-patio-on/7851137117.html,37.7484545802305,-122.408574052365,San Francisco,2025-05-19T16:52:45.343324,False
READY MOVE-IN!! PRIME LOCATION . CLEAN & COZY 3 BD/1 Bath HRWD,,4200,3,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ready-move-in-prime/7851174518.html,37.7916997157313,-122.418600813779,San Francisco,2025-05-19T16:52:45.342685,False
4 Rooms 1 Bath apartment for rent,"Mission,Chill Mission",3200,4,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rooms-bath-apartment-for/7850542520.html,37.7606018584445,-122.40806870359,San Francisco,2025-05-19T16:52:45.342095,False
Spacious 3BR/2BA in Outer Richmond | Walk to Ocean Beach & Land’s End!,,4295,3,2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-3br-2ba-in-outer/7851313694.html,37.7785996087041,-122.489197235545,San Francisco,2025-05-19T16:52:45.341526,False
Bright Top-Floor 3-Bedroom 1.5-Bath Apartment.,,2033,3,2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-top-floor-bedroom/7851328421.html,37.7916997157313,-122.418600813779,San Francisco,2025-05-19T16:52:45.341013,False
"⭐⭐⭐ 3 BR,1 BA w/outdoor deck in heart of Inner Mission⭐⭐⭐","Mission,Chill Mission",3995,3,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br1-ba-outdoor-deck-in/7851341128.html,37.7534983277008,-122.41099193426,San Francisco,2025-05-19T16:52:45.340482,False
"""Bright and Beautiful 3BR/2BA Apartment",,2299,3,2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-and-beautiful-3br/7851351093.html,37.7857575704383,-122.429829640648,San Francisco,2025-05-19T16:52:45.339923,False
##Beautiful 3 bed 1 bath apartment Available##,Haight/Cole Valley,2133,3,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-bed-bath/7851356857.html,37.7657756673342,-122.450142713357,San Francisco,2025-05-19T16:52:45.339391,False
"FULL FLOOR FLAT! Bay Windows, Hardwood Floors, Remodeled, Bonus Room",Mission,4495,4,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-full-floor-flat-bay/7851393024.html,37.7522418312561,-122.419051158606,San Francisco,2025-05-19T16:52:45.338751,False
"Newly Remodeled House inner Sunset close to UCSF, SFSU, CCSF",,3300,3,1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-house/7851433885.html,37.7593006712918,-122.483594281266,San Francisco,2025-05-19T16:52:45.338092,False
